gen1	gen2	phenotype	pvalue
R	RPR	eggsize	1.0
RPR	R	eggsize	1.0
R	RR	eggsize	4.73e-10
RR	R	eggsize	4.73e-10
R	RRP	eggsize	0.334868444
RRP	R	eggsize	0.334868444
R	RRR	eggsize	0.030969586
RRR	R	eggsize	0.030969586
R	S	eggsize	1.0
S	R	eggsize	1.0
R	SS	eggsize	0.528213299
SS	R	eggsize	0.528213299
R	SSS	eggsize	0.141887685
SSS	R	eggsize	0.141887685
RP	RPP	eggsize	0.154333668
RPP	RP	eggsize	0.154333668
RP	RPR	eggsize	0.016317191
RPR	RP	eggsize	0.016317191
RP	RR	eggsize	1.0
RR	RP	eggsize	1.0
RP	RRP	eggsize	1.0
RRP	RP	eggsize	1.0
RP	RRR	eggsize	1.0
RRR	RP	eggsize	1.0
RP	S	eggsize	0.0018227170000000002
S	RP	eggsize	0.0018227170000000002
RP	SS	eggsize	1.0
SS	RP	eggsize	1.0
RP	SSS	eggsize	1.0
SSS	RP	eggsize	1.0
RPP	RPR	eggsize	1.0
RPR	RPP	eggsize	1.0
RPP	RR	eggsize	0.000104033
RR	RPP	eggsize	0.000104033
RPP	RRP	eggsize	1.0
RRP	RPP	eggsize	1.0
RPP	RRR	eggsize	1.0
RRR	RPP	eggsize	1.0
RPP	S	eggsize	1.0
S	RPP	eggsize	1.0
RPP	SS	eggsize	1.0
SS	RPP	eggsize	1.0
RPP	SSS	eggsize	1.0
SSS	RPP	eggsize	1.0
RPR	RR	eggsize	1.05e-06
RR	RPR	eggsize	1.05e-06
RPR	RRP	eggsize	1.0
RRP	RPR	eggsize	1.0
RPR	RRR	eggsize	1.0
RRR	RPR	eggsize	1.0
RPR	S	eggsize	1.0
S	RPR	eggsize	1.0
RPR	SS	eggsize	1.0
SS	RPR	eggsize	1.0
RPR	SSS	eggsize	1.0
SSS	RPR	eggsize	1.0
RR	RRP	eggsize	0.007264641999999999
RRP	RR	eggsize	0.007264641999999999
RR	RRR	eggsize	0.09562466800000001
RRR	RR	eggsize	0.09562466800000001
RR	S	eggsize	3.95e-08
S	RR	eggsize	3.95e-08
RR	SS	eggsize	0.007327565
SS	RR	eggsize	0.007327565
RR	SSS	eggsize	0.009750491
SSS	RR	eggsize	0.009750491
RRP	RRR	eggsize	1.0
RRR	RRP	eggsize	1.0
RRP	S	eggsize	1.0
S	RRP	eggsize	1.0
RRP	SS	eggsize	1.0
SS	RRP	eggsize	1.0
RRP	SSS	eggsize	1.0
SSS	RRP	eggsize	1.0
RRR	S	eggsize	0.782486026
S	RRR	eggsize	0.782486026
RRR	SS	eggsize	1.0
SS	RRR	eggsize	1.0
RRR	SSS	eggsize	1.0
SSS	RRR	eggsize	1.0
S	SS	eggsize	1.0
SS	S	eggsize	1.0
S	SSS	eggsize	1.0
SSS	S	eggsize	1.0
SS	SSS	eggsize	1.0
SSS	SS	eggsize	1.0
P	PP	mass	1.0
PP	P	mass	1.0
P	PPP	mass	1.0
PPP	P	mass	1.0
PP	PPP	mass	1.0
PPP	PP	mass	1.0
P	PPR	mass	0.000115739
PPR	P	mass	0.000115739
PP	PPR	mass	7.020000000000001e-05
PPR	PP	mass	7.020000000000001e-05
PPP	PPR	mass	0.0017124710000000001
PPR	PPP	mass	0.0017124710000000001
P	PR	mass	4.929999999999999e-12
PR	P	mass	4.929999999999999e-12
PP	PR	mass	4.4799999999999997e-11
PR	PP	mass	4.4799999999999997e-11
PPP	PR	mass	5.38e-08
PR	PPP	mass	5.38e-08
PPR	PR	mass	1.0
PR	PPR	mass	1.0
P	PRP	mass	1.0
PRP	P	mass	1.0
PP	PRP	mass	1.0
PRP	PP	mass	1.0
PPP	PRP	mass	1.0
PRP	PPP	mass	1.0
PPR	PRP	mass	0.000904615
PRP	PPR	mass	0.000904615
PR	PRP	mass	1.18e-08
PRP	PR	mass	1.18e-08
P	PRR	mass	2.5499999999999997e-08
PRR	P	mass	2.5499999999999997e-08
PP	PRR	mass	3.92e-08
PRR	PP	mass	3.92e-08
PPP	PRR	mass	5.87e-06
PRR	PPP	mass	5.87e-06
PPR	PRR	mass	1.0
PRR	PPR	mass	1.0
PR	PRR	mass	1.0
PRR	PR	mass	1.0
PRP	PRR	mass	2.06e-06
PRR	PRP	mass	2.06e-06
P	R	mass	2.24e-29
R	P	mass	2.24e-29
PP	R	mass	3e-25
R	PP	mass	3e-25
PPP	R	mass	2.68e-19
R	PPP	mass	2.68e-19
PPR	R	mass	0.17561502199999998
R	PPR	mass	0.17561502199999998
PR	R	mass	0.129901407
R	PR	mass	0.129901407
PRP	R	mass	1.1200000000000002e-20
R	PRP	mass	1.1200000000000002e-20
PRR	R	mass	0.312951345
R	PRR	mass	0.312951345
P	RP	mass	1.0
RP	P	mass	1.0
PP	RP	mass	1.0
RP	PP	mass	1.0
PPP	RP	mass	1.0
RP	PPP	mass	1.0
PPR	RP	mass	3.81e-05
RP	PPR	mass	3.81e-05
PR	RP	mass	7.07e-10
RP	PR	mass	7.07e-10
PRP	RP	mass	1.0
RP	PRP	mass	1.0
PRR	RP	mass	8.17e-08
RP	PRR	mass	8.17e-08
R	RP	mass	1.7e-20
RP	R	mass	1.7e-20
P	RPP	mass	1.0
RPP	P	mass	1.0
PP	RPP	mass	1.0
RPP	PP	mass	1.0
PPP	RPP	mass	1.0
RPP	PPP	mass	1.0
PPR	RPP	mass	0.000150099
RPP	PPR	mass	0.000150099
PR	RPP	mass	8.63e-11
RPP	PR	mass	8.63e-11
PRP	RPP	mass	1.0
RPP	PRP	mass	1.0
PRR	RPP	mass	8.65e-08
RPP	PRR	mass	8.65e-08
R	RPP	mass	2.0600000000000004e-25
RPP	R	mass	2.0600000000000004e-25
RP	RPP	mass	1.0
RPP	RP	mass	1.0
P	RPR	mass	0.000312395
RPR	P	mass	0.000312395
PP	RPR	mass	0.00021715099999999998
RPR	PP	mass	0.00021715099999999998
PPP	RPR	mass	0.006998821999999999
RPR	PPP	mass	0.006998821999999999
PPR	RPR	mass	1.0
RPR	PPR	mass	1.0
PR	RPR	mass	1.0
RPR	PR	mass	1.0
PRP	RPR	mass	0.003529656
RPR	PRP	mass	0.003529656
PRR	RPR	mass	1.0
RPR	PRR	mass	1.0
R	RPR	mass	0.00046298300000000004
RPR	R	mass	0.00046298300000000004
RP	RPR	mass	0.000139978
RPR	RP	mass	0.000139978
RPP	RPR	mass	0.000475554
RPR	RPP	mass	0.000475554
P	RR	mass	2.09e-21
RR	P	mass	2.09e-21
PP	RR	mass	1.6899999999999998e-19
RR	PP	mass	1.6899999999999998e-19
PPP	RR	mass	2.9e-15
RR	PPP	mass	2.9e-15
PPR	RR	mass	0.5503161910000001
RR	PPR	mass	0.5503161910000001
PR	RR	mass	0.7304163690000001
RR	PR	mass	0.7304163690000001
PRP	RR	mass	3.16e-16
RR	PRP	mass	3.16e-16
PRR	RR	mass	1.0
RR	PRR	mass	1.0
R	RR	mass	1.0
RR	R	mass	1.0
RP	RR	mass	6.11e-17
RR	RP	mass	6.11e-17
RPP	RR	mass	2.42e-19
RR	RPP	mass	2.42e-19
RPR	RR	mass	0.00558597
RR	RPR	mass	0.00558597
P	RRP	mass	1.0
RRP	P	mass	1.0
PP	RRP	mass	1.0
RRP	PP	mass	1.0
PPP	RRP	mass	1.0
RRP	PPP	mass	1.0
PPR	RRP	mass	3.47e-05
RRP	PPR	mass	3.47e-05
PR	RRP	mass	5.67e-12
RRP	PR	mass	5.67e-12
PRP	RRP	mass	1.0
RRP	PRP	mass	1.0
PRR	RRP	mass	1.08e-08
RRP	PRR	mass	1.08e-08
R	RRP	mass	2.9900000000000002e-27
RRP	R	mass	2.9900000000000002e-27
RP	RRP	mass	1.0
RRP	RP	mass	1.0
RPP	RRP	mass	1.0
RRP	RPP	mass	1.0
RPR	RRP	mass	9.590000000000001e-05
RRP	RPR	mass	9.590000000000001e-05
RR	RRP	mass	8.92e-21
RRP	RR	mass	8.92e-21
P	RRR	mass	3.05e-18
RRR	P	mass	3.05e-18
PP	RRR	mass	6.49e-17
RRR	PP	mass	6.49e-17
PPP	RRR	mass	2.98e-13
RRR	PPP	mass	2.98e-13
PPR	RRR	mass	1.0
RRR	PPR	mass	1.0
PR	RRR	mass	1.0
RRR	PR	mass	1.0
PRP	RRR	mass	4.5000000000000004e-14
RRR	PRP	mass	4.5000000000000004e-14
PRR	RRR	mass	1.0
RRR	PRR	mass	1.0
R	RRR	mass	1.0
RRR	R	mass	1.0
RP	RRR	mass	4.83e-15
RRR	RP	mass	4.83e-15
RPP	RRR	mass	1.11e-16
RRR	RPP	mass	1.11e-16
RPR	RRR	mass	0.031628465
RRR	RPR	mass	0.031628465
RR	RRR	mass	1.0
RRR	RR	mass	1.0
RRP	RRR	mass	5.65e-18
RRR	RRP	mass	5.65e-18
P	S	mass	1.06e-22
S	P	mass	1.06e-22
PP	S	mass	2.65e-19
S	PP	mass	2.65e-19
PPP	S	mass	3.88e-14
S	PPP	mass	3.88e-14
PPR	S	mass	1.0
S	PPR	mass	1.0
PR	S	mass	1.0
S	PR	mass	1.0
PRP	S	mass	2.69e-15
S	PRP	mass	2.69e-15
PRR	S	mass	1.0
S	PRR	mass	1.0
R	S	mass	1.0
S	R	mass	1.0
RP	S	mass	1.22e-15
S	RP	mass	1.22e-15
RPP	S	mass	2.46e-19
S	RPP	mass	2.46e-19
RPR	S	mass	0.2259558
S	RPR	mass	0.2259558
RR	S	mass	1.0
S	RR	mass	1.0
RRP	S	mass	4.83e-21
S	RRP	mass	4.83e-21
RRR	S	mass	1.0
S	RRR	mass	1.0
P	SS	mass	3.83e-08
SS	P	mass	3.83e-08
PP	SS	mass	7.8e-08
SS	PP	mass	7.8e-08
PPP	SS	mass	1.58e-05
SS	PPP	mass	1.58e-05
PPR	SS	mass	1.0
SS	PPR	mass	1.0
PR	SS	mass	1.0
SS	PR	mass	1.0
PRP	SS	mass	5.24e-06
SS	PRP	mass	5.24e-06
PRR	SS	mass	1.0
SS	PRR	mass	1.0
R	SS	mass	0.013118672
SS	R	mass	0.013118672
RP	SS	mass	2.12e-07
SS	RP	mass	2.12e-07
RPP	SS	mass	1.71e-07
SS	RPP	mass	1.71e-07
RPR	SS	mass	1.0
SS	RPR	mass	1.0
RR	SS	mass	0.10529979199999999
SS	RR	mass	0.10529979199999999
RRP	SS	mass	1.88e-08
SS	RRP	mass	1.88e-08
RRR	SS	mass	0.46267280899999996
SS	RRR	mass	0.46267280899999996
S	SS	mass	1.0
SS	S	mass	1.0
P	SSS	mass	0.000257251
SSS	P	mass	0.000257251
PP	SSS	mass	0.00014474100000000002
SSS	PP	mass	0.00014474100000000002
PPP	SSS	mass	0.00279064
SSS	PPP	mass	0.00279064
PPR	SSS	mass	1.0
SSS	PPR	mass	1.0
PR	SSS	mass	1.0
SSS	PR	mass	1.0
PRP	SSS	mass	0.0015499189999999999
SSS	PRP	mass	0.0015499189999999999
PRR	SSS	mass	1.0
SSS	PRR	mass	1.0
R	SSS	mass	0.299895741
SSS	R	mass	0.299895741
RP	SSS	mass	6.9e-05
SSS	RP	mass	6.9e-05
RPP	SSS	mass	0.000303538
SSS	RPP	mass	0.000303538
RPR	SSS	mass	1.0
SSS	RPR	mass	1.0
RR	SSS	mass	0.819567303
SSS	RR	mass	0.819567303
RRP	SSS	mass	7.68e-05
SSS	RRP	mass	7.68e-05
RRR	SSS	mass	1.0
SSS	RRR	mass	1.0
S	SSS	mass	1.0
SSS	S	mass	1.0
SS	SSS	mass	1.0
SSS	SS	mass	1.0
P	PP	ovarno	1.0
PP	P	ovarno	1.0
P	PPP	ovarno	1.0
PPP	P	ovarno	1.0
PP	PPP	ovarno	1.0
PPP	PP	ovarno	1.0
P	PPR	ovarno	7.5e-15
PPR	P	ovarno	7.5e-15
PP	PPR	ovarno	2.11e-10
PPR	PP	ovarno	2.11e-10
PPP	PPR	ovarno	3.03e-08
PPR	PPP	ovarno	3.03e-08
P	PR	ovarno	8.69e-15
PR	P	ovarno	8.69e-15
PP	PR	ovarno	4.36e-09
PR	PP	ovarno	4.36e-09
PPP	PR	ovarno	1.7e-06
PR	PPP	ovarno	1.7e-06
PPR	PR	ovarno	1.0
PR	PPR	ovarno	1.0
P	PRP	ovarno	1.0
PRP	P	ovarno	1.0
PP	PRP	ovarno	1.0
PRP	PP	ovarno	1.0
PPP	PRP	ovarno	1.0
PRP	PPP	ovarno	1.0
PPR	PRP	ovarno	6.9e-07
PRP	PPR	ovarno	6.9e-07
PR	PRP	ovarno	4.57e-05
PRP	PR	ovarno	4.57e-05
P	PRR	ovarno	2.89e-15
PRR	P	ovarno	2.89e-15
PP	PRR	ovarno	5.599999999999999e-10
PRR	PP	ovarno	5.599999999999999e-10
PPP	PRR	ovarno	1.8100000000000002e-07
PRR	PPP	ovarno	1.8100000000000002e-07
PPR	PRR	ovarno	1.0
PRR	PPR	ovarno	1.0
PR	PRR	ovarno	1.0
PRR	PR	ovarno	1.0
PRP	PRR	ovarno	4.98e-06
PRR	PRP	ovarno	4.98e-06
P	R	ovarno	5.78e-20
R	P	ovarno	5.78e-20
PP	R	ovarno	6.83e-12
R	PP	ovarno	6.83e-12
PPP	R	ovarno	4.38e-08
R	PPP	ovarno	4.38e-08
PPR	R	ovarno	1.0
R	PPR	ovarno	1.0
PR	R	ovarno	1.0
R	PR	ovarno	1.0
PRP	R	ovarno	2.49e-06
R	PRP	ovarno	2.49e-06
PRR	R	ovarno	1.0
R	PRR	ovarno	1.0
P	RP	ovarno	1.0
RP	P	ovarno	1.0
PP	RP	ovarno	1.0
RP	PP	ovarno	1.0
PPP	RP	ovarno	1.0
RP	PPP	ovarno	1.0
PPR	RP	ovarno	1.06e-05
RP	PPR	ovarno	1.06e-05
PR	RP	ovarno	0.0006766519999999999
RP	PR	ovarno	0.0006766519999999999
PRP	RP	ovarno	1.0
RP	PRP	ovarno	1.0
PRR	RP	ovarno	8.79e-05
RP	PRR	ovarno	8.79e-05
R	RP	ovarno	0.000113429
RP	R	ovarno	0.000113429
P	RPP	ovarno	0.49745006399999997
RPP	P	ovarno	0.49745006399999997
PP	RPP	ovarno	1.0
RPP	PP	ovarno	1.0
PPP	RPP	ovarno	1.0
RPP	PPP	ovarno	1.0
PPR	RPP	ovarno	3.76e-08
RPP	PPR	ovarno	3.76e-08
PR	RPP	ovarno	9.19e-07
RPP	PR	ovarno	9.19e-07
PRP	RPP	ovarno	1.0
RPP	PRP	ovarno	1.0
PRR	RPP	ovarno	1.14e-07
RPP	PRR	ovarno	1.14e-07
R	RPP	ovarno	9.94e-10
RPP	R	ovarno	9.94e-10
RP	RPP	ovarno	1.0
RPP	RP	ovarno	1.0
P	RPR	ovarno	5.7e-20
RPR	P	ovarno	5.7e-20
