gen1	gen2	phenotype	pvalue
SSS	SS	ovarno	1.0
P	PP	winglength	1.0
PP	P	winglength	1.0
P	PPP	winglength	1.0
PPP	P	winglength	1.0
P	PPR	winglength	3.13e-23
PPR	P	winglength	3.13e-23
P	PR	winglength	4.3299999999999996e-33
PR	P	winglength	4.3299999999999996e-33
P	PRP	winglength	1.0
PRP	P	winglength	1.0
P	PRR	winglength	1.98e-32
PRR	P	winglength	1.98e-32
P	R	winglength	1.9199999999999997e-34
R	P	winglength	1.9199999999999997e-34
P	RP	winglength	1.0
RP	P	winglength	1.0
P	RPP	winglength	0.0038036109999999997
RPP	P	winglength	0.0038036109999999997
P	RPR	winglength	6.62e-33
RPR	P	winglength	6.62e-33
P	RR	winglength	6.81e-27
RR	P	winglength	6.81e-27
P	RRP	winglength	4.1899999999999995e-05
RRP	P	winglength	4.1899999999999995e-05
P	RRR	winglength	1.6e-37
RRR	P	winglength	1.6e-37
P	S	winglength	7.420000000000001e-23
S	P	winglength	7.420000000000001e-23
P	SS	winglength	1.34e-11
SS	P	winglength	1.34e-11
P	SSS	winglength	2.0699999999999998e-13
SSS	P	winglength	2.0699999999999998e-13
PP	PPP	winglength	1.0
PPP	PP	winglength	1.0
PP	PPR	winglength	7.329999999999999e-13
PPR	PP	winglength	7.329999999999999e-13
PP	PR	winglength	4.92e-16
PR	PP	winglength	4.92e-16
PP	PRP	winglength	1.0
PRP	PP	winglength	1.0
PP	PRR	winglength	6.800000000000001e-18
PRR	PP	winglength	6.800000000000001e-18
PP	R	winglength	6.089999999999999e-16
R	PP	winglength	6.089999999999999e-16
PP	RP	winglength	1.0
RP	PP	winglength	1.0
PP	RPP	winglength	1.0
RPP	PP	winglength	1.0
PP	RPR	winglength	5.5999999999999995e-18
RPR	PP	winglength	5.5999999999999995e-18
PP	RR	winglength	5.21e-13
RR	PP	winglength	5.21e-13
PP	RRP	winglength	1.0
RRP	PP	winglength	1.0
PP	RRR	winglength	1.17e-20
RRR	PP	winglength	1.17e-20
PP	S	winglength	4.5700000000000006e-08
S	PP	winglength	4.5700000000000006e-08
PP	SS	winglength	0.001152965
SS	PP	winglength	0.001152965
PP	SSS	winglength	2.19e-06
SSS	PP	winglength	2.19e-06
PPP	PPR	winglength	2.67e-13
PPR	PPP	winglength	2.67e-13
PPP	PR	winglength	5.16e-16
PR	PPP	winglength	5.16e-16
PPP	PRP	winglength	1.0
PRP	PPP	winglength	1.0
PPP	PRR	winglength	5.23e-18
PRR	PPP	winglength	5.23e-18
PPP	R	winglength	7.92e-16
R	PPP	winglength	7.92e-16
PPP	RP	winglength	1.0
RP	PPP	winglength	1.0
PPP	RPP	winglength	1.0
RPP	PPP	winglength	1.0
PPP	RPR	winglength	4.62e-18
RPR	PPP	winglength	4.62e-18
PPP	RR	winglength	2.91e-13
RR	PPP	winglength	2.91e-13
PPP	RRP	winglength	1.0
RRP	PPP	winglength	1.0
PPP	RRR	winglength	1.56e-20
RRR	PPP	winglength	1.56e-20
PPP	S	winglength	2.0699999999999997e-08
S	PPP	winglength	2.0699999999999997e-08
PPP	SS	winglength	0.00029961
SS	PPP	winglength	0.00029961
PPP	SSS	winglength	5.81e-07
SSS	PPP	winglength	5.81e-07
PPR	PR	winglength	1.0
PR	PPR	winglength	1.0
PPR	PRP	winglength	6.979999999999999e-13
PRP	PPR	winglength	6.979999999999999e-13
PPR	PRR	winglength	1.0
PRR	PPR	winglength	1.0
PPR	R	winglength	1.0
R	PPR	winglength	1.0
PPR	RP	winglength	2.85e-15
RP	PPR	winglength	2.85e-15
PPR	RPP	winglength	8.319999999999999e-10
RPP	PPR	winglength	8.319999999999999e-10
PPR	RPR	winglength	1.0
RPR	PPR	winglength	1.0
PPR	RR	winglength	1.0
RR	PPR	winglength	1.0
PPR	RRP	winglength	6.94e-08
RRP	PPR	winglength	6.94e-08
PPR	RRR	winglength	1.0
RRR	PPR	winglength	1.0
PPR	S	winglength	0.049935934
S	PPR	winglength	0.049935934
PPR	SS	winglength	0.009900101
SS	PPR	winglength	0.009900101
PPR	SSS	winglength	1.0
SSS	PPR	winglength	1.0
PR	PRP	winglength	1.21e-15
PRP	PR	winglength	1.21e-15
PR	PRR	winglength	1.0
PRR	PR	winglength	1.0
PR	R	winglength	1.0
R	PR	winglength	1.0
PR	RP	winglength	1.03e-17
RP	PR	winglength	1.03e-17
PR	RPP	winglength	5.17e-12
RPP	PR	winglength	5.17e-12
PR	RPR	winglength	1.0
RPR	PR	winglength	1.0
PR	RR	winglength	1.0
RR	PR	winglength	1.0
PR	RRP	winglength	2.28e-09
RRP	PR	winglength	2.28e-09
PR	RRR	winglength	1.0
RRR	PR	winglength	1.0
PR	S	winglength	0.07937174400000001
S	PR	winglength	0.07937174400000001
PR	SS	winglength	0.016566848999999998
SS	PR	winglength	0.016566848999999998
PR	SSS	winglength	1.0
SSS	PR	winglength	1.0
PRP	PRR	winglength	1.27e-17
PRR	PRP	winglength	1.27e-17
PRP	R	winglength	1.79e-15
R	PRP	winglength	1.79e-15
PRP	RP	winglength	1.0
RP	PRP	winglength	1.0
PRP	RPP	winglength	1.0
RPP	PRP	winglength	1.0
PRP	RPR	winglength	1.11e-17
RPR	PRP	winglength	1.11e-17
PRP	RR	winglength	7.42e-13
RR	PRP	winglength	7.42e-13
PRP	RRP	winglength	1.0
RRP	PRP	winglength	1.0
PRP	RRR	winglength	3.48e-20
RRR	PRP	winglength	3.48e-20
PRP	S	winglength	5.41e-08
S	PRP	winglength	5.41e-08
PRP	SS	winglength	0.000731243
SS	PRP	winglength	0.000731243
PRP	SSS	winglength	1.41e-06
SSS	PRP	winglength	1.41e-06
PRR	R	winglength	1.0
R	PRR	winglength	1.0
PRR	RP	winglength	8.64e-20
RP	PRR	winglength	8.64e-20
PRR	RPP	winglength	4.37e-14
RPP	PRR	winglength	4.37e-14
PRR	RPR	winglength	1.0
RPR	PRR	winglength	1.0
PRR	RR	winglength	1.0
RR	PRR	winglength	1.0
PRR	RRP	winglength	1.4499999999999998e-11
RRP	PRR	winglength	1.4499999999999998e-11
PRR	RRR	winglength	1.0
RRR	PRR	winglength	1.0
PRR	S	winglength	0.0005935119999999999
S	PRR	winglength	0.0005935119999999999
PRR	SS	winglength	0.00014711
SS	PRR	winglength	0.00014711
PRR	SSS	winglength	1.0
SSS	PRR	winglength	1.0
R	RP	winglength	1.81e-17
RP	R	winglength	1.81e-17
R	RPP	winglength	8.72e-12
RPP	R	winglength	8.72e-12
R	RPR	winglength	1.0
RPR	R	winglength	1.0
R	RR	winglength	1.0
RR	R	winglength	1.0
R	RRP	winglength	4.8e-09
RRP	R	winglength	4.8e-09
R	RRR	winglength	1.0
RRR	R	winglength	1.0
R	S	winglength	0.21681509100000002
S	R	winglength	0.21681509100000002
R	SS	winglength	0.043890707
SS	R	winglength	0.043890707
R	SSS	winglength	1.0
SSS	R	winglength	1.0
RP	RPP	winglength	0.44770684
RPP	RP	winglength	0.44770684
RP	RPR	winglength	8.01e-20
RPR	RP	winglength	8.01e-20
RP	RR	winglength	3.76e-15
RR	RP	winglength	3.76e-15
RP	RRP	winglength	0.038192701
RRP	RP	winglength	0.038192701
RP	RRR	winglength	3.9500000000000003e-22
RRR	RP	winglength	3.9500000000000003e-22
RP	S	winglength	2.2800000000000001e-10
S	RP	winglength	2.2800000000000001e-10
RP	SS	winglength	3.72e-06
SS	RP	winglength	3.72e-06
RP	SSS	winglength	7.41e-09
SSS	RP	winglength	7.41e-09
RPP	RPR	winglength	4.05e-14
RPR	RPP	winglength	4.05e-14
RPP	RR	winglength	1.8e-09
RR	RPP	winglength	1.8e-09
RPP	RRP	winglength	1.0
RRP	RPP	winglength	1.0
RPP	RRR	winglength	1.72e-16
RRR	RPP	winglength	1.72e-16
RPP	S	winglength	9.209999999999999e-05
S	RPP	winglength	9.209999999999999e-05
RPP	SS	winglength	0.148603515
SS	RPP	winglength	0.148603515
RPP	SSS	winglength	0.000348548
SSS	RPP	winglength	0.000348548
RPR	RR	winglength	1.0
RR	RPR	winglength	1.0
RPR	RRP	winglength	1.4699999999999998e-11
RRP	RPR	winglength	1.4699999999999998e-11
RPR	RRR	winglength	1.0
RRR	RPR	winglength	1.0
RPR	S	winglength	0.000724747
S	RPR	winglength	0.000724747
RPR	SS	winglength	0.000181233
SS	RPR	winglength	0.000181233
RPR	SSS	winglength	1.0
SSS	RPR	winglength	1.0
RR	RRP	winglength	3.14e-07
RRP	RR	winglength	3.14e-07
RR	RRR	winglength	1.0
RRR	RR	winglength	1.0
RR	S	winglength	0.73401466
S	RR	winglength	0.73401466
RR	SS	winglength	0.139857319
SS	RR	winglength	0.139857319
RR	SSS	winglength	1.0
SSS	RR	winglength	1.0
RRP	RRR	winglength	1.17e-13
RRR	RRP	winglength	1.17e-13
RRP	S	winglength	0.007707699
S	RRP	winglength	0.007707699
RRP	SS	winglength	1.0
SS	RRP	winglength	1.0
RRP	SSS	winglength	0.006534444
SSS	RRP	winglength	0.006534444
RRR	S	winglength	3.65e-05
S	RRR	winglength	3.65e-05
RRR	SS	winglength	1.23e-05
SS	RRR	winglength	1.23e-05
RRR	SSS	winglength	1.0
SSS	RRR	winglength	1.0
S	SS	winglength	1.0
SS	S	winglength	1.0
S	SSS	winglength	1.0
SSS	S	winglength	1.0
SS	SSS	winglength	1.0
SSS	SS	winglength	1.0
P	PP	devL1A	1.0
PP	P	devL1A	1.0
P	PPP	devL1A	1.0
PPP	P	devL1A	1.0
P	PPR	devL1A	5.14e-25
PPR	P	devL1A	5.14e-25
P	PR	devL1A	3.16e-30
PR	P	devL1A	3.16e-30
P	PRP	devL1A	1.0
PRP	P	devL1A	1.0
P	PRR	devL1A	3.429999999999999e-33
PRR	P	devL1A	3.429999999999999e-33
P	R	devL1A	6.449999999999999e-55
R	P	devL1A	6.449999999999999e-55
P	RP	devL1A	1.0
RP	P	devL1A	1.0
P	RPP	devL1A	4.059999999999999e-08
RPP	P	devL1A	4.059999999999999e-08
P	RPR	devL1A	7.109999999999998e-45
RPR	P	devL1A	7.109999999999998e-45
P	RR	devL1A	9.31e-38
RR	P	devL1A	9.31e-38
P	RRP	devL1A	3.1e-10
RRP	P	devL1A	3.1e-10
P	RRR	devL1A	1.06e-38
RRR	P	devL1A	1.06e-38
P	S	devL1A	7.31e-21
S	P	devL1A	7.31e-21
P	SS	devL1A	3.16e-05
SS	P	devL1A	3.16e-05
P	SSS	devL1A	0.000104379
SSS	P	devL1A	0.000104379
PP	PPP	devL1A	1.0
PPP	PP	devL1A	1.0
PP	PPR	devL1A	6.729999999999999e-26
PPR	PP	devL1A	6.729999999999999e-26
PP	PR	devL1A	1.9600000000000002e-29
PR	PP	devL1A	1.9600000000000002e-29
PP	PRP	devL1A	1.0
PRP	PP	devL1A	1.0
PP	PRR	devL1A	5.839999999999999e-33
PRR	PP	devL1A	5.839999999999999e-33
PP	R	devL1A	4.519999999999999e-50
R	PP	devL1A	4.519999999999999e-50
PP	RP	devL1A	1.0
RP	PP	devL1A	1.0
PP	RPP	devL1A	2.02e-09
RPP	PP	devL1A	2.02e-09
PP	RPR	devL1A	1.4999999999999998e-43
RPR	PP	devL1A	1.4999999999999998e-43
PP	RR	devL1A	1.07e-36
RR	PP	devL1A	1.07e-36
PP	RRP	devL1A	2.03e-11
RRP	PP	devL1A	2.03e-11
PP	RRR	devL1A	8.06e-38
RRR	PP	devL1A	8.06e-38
PP	S	devL1A	1.3999999999999998e-20
S	PP	devL1A	1.3999999999999998e-20
PP	SS	devL1A	1.23e-06
SS	PP	devL1A	1.23e-06
PP	SSS	devL1A	5.02e-06
SSS	PP	devL1A	5.02e-06
PPP	PPR	devL1A	1.44e-22
PPR	PPP	devL1A	1.44e-22
PPP	PR	devL1A	3.84e-24
PR	PPP	devL1A	3.84e-24
PPP	PRP	devL1A	1.0
PRP	PPP	devL1A	1.0
PPP	PRR	devL1A	4.440000000000001e-28
PRR	PPP	devL1A	4.440000000000001e-28
PPP	R	devL1A	3.5e-41
R	PPP	devL1A	3.5e-41
PPP	RP	devL1A	1.0
RP	PPP	devL1A	1.0
PPP	RPP	devL1A	3e-07
RPP	PPP	devL1A	3e-07
PPP	RPR	devL1A	2.2399999999999996e-37
RPR	PPP	devL1A	2.2399999999999996e-37
PPP	RR	devL1A	6.16e-31
RR	PPP	devL1A	6.16e-31
PPP	RRP	devL1A	6.459999999999999e-09
RRP	PPP	devL1A	6.459999999999999e-09
PPP	RRR	devL1A	3.4399999999999997e-32
RRR	PPP	devL1A	3.4399999999999997e-32
PPP	S	devL1A	4.3600000000000003e-16
S	PPP	devL1A	4.3600000000000003e-16
PPP	SS	devL1A	4.7600000000000005e-05
SS	PPP	devL1A	4.7600000000000005e-05
PPP	SSS	devL1A	6.39e-05
SSS	PPP	devL1A	6.39e-05
PPR	PR	devL1A	1.0
PR	PPR	devL1A	1.0
PPR	PRP	devL1A	2.83e-18
PRP	PPR	devL1A	2.83e-18
PPR	PRR	devL1A	1.0
PRR	PPR	devL1A	1.0
PPR	R	devL1A	1.0
R	PPR	devL1A	1.0
PPR	RP	devL1A	2.43e-17
RP	PPR	devL1A	2.43e-17
PPR	RPP	devL1A	9.679999999999999e-07
RPP	PPR	devL1A	9.679999999999999e-07
PPR	RPR	devL1A	1.0
RPR	PPR	devL1A	1.0
PPR	RR	devL1A	1.0
RR	PPR	devL1A	1.0
PPR	RRP	devL1A	1.76e-05
RRP	PPR	devL1A	1.76e-05
PPR	RRR	devL1A	1.0
RRR	PPR	devL1A	1.0
PPR	S	devL1A	0.002919373
S	PPR	devL1A	0.002919373
PPR	SS	devL1A	1.26e-07
SS	PPR	devL1A	1.26e-07
PPR	SSS	devL1A	0.0015563620000000002
SSS	PPR	devL1A	0.0015563620000000002
PR	PRP	devL1A	7.409999999999999e-19
PRP	PR	devL1A	7.409999999999999e-19
PR	PRR	devL1A	1.0
PRR	PR	devL1A	1.0
PR	R	devL1A	0.30051788399999996
R	PR	devL1A	0.30051788399999996
PR	RP	devL1A	8e-17
RP	PR	devL1A	8e-17
PR	RPP	devL1A	4.95e-05
RPP	PR	devL1A	4.95e-05
PR	RPR	devL1A	0.015340395
RPR	PR	devL1A	0.015340395
PR	RR	devL1A	1.0
RR	PR	devL1A	1.0
PR	RRP	devL1A	0.001278853
RRP	PR	devL1A	0.001278853
PR	RRR	devL1A	0.99391339
RRR	PR	devL1A	0.99391339
PR	S	devL1A	0.276777816
S	PR	devL1A	0.276777816
PR	SS	devL1A	5.84e-06
SS	PR	devL1A	5.84e-06
PR	SSS	devL1A	0.108053621
SSS	PR	devL1A	0.108053621
PRP	PRR	devL1A	6.66e-23
PRR	PRP	devL1A	6.66e-23
PRP	R	devL1A	1.8999999999999998e-34
R	PRP	devL1A	1.8999999999999998e-34
PRP	RP	devL1A	1.0
RP	PRP	devL1A	1.0
PRP	RPP	devL1A	0.00041130199999999995
RPP	PRP	devL1A	0.00041130199999999995
PRP	RPR	devL1A	1.49e-31
RPR	PRP	devL1A	1.49e-31
PRP	RR	devL1A	2.3699999999999997e-25
RR	PRP	devL1A	2.3699999999999997e-25
PRP	RRP	devL1A	1.76e-05
RRP	PRP	devL1A	1.76e-05
PRP	RRR	devL1A	1.2200000000000001e-26
RRR	PRP	devL1A	1.2200000000000001e-26
PRP	S	devL1A	2.3999999999999998e-11
S	PRP	devL1A	2.3999999999999998e-11
PRP	SS	devL1A	0.018266908000000002
SS	PRP	devL1A	0.018266908000000002
PRP	SSS	devL1A	0.008918659
SSS	PRP	devL1A	0.008918659
PRR	R	devL1A	1.0
R	PRR	devL1A	1.0
PRR	RP	devL1A	7.37e-21
RP	PRR	devL1A	7.37e-21
PRR	RPP	devL1A	9.769999999999999e-09
RPP	PRR	devL1A	9.769999999999999e-09
PRR	RPR	devL1A	1.0
RPR	PRR	devL1A	1.0
PRR	RR	devL1A	1.0
RR	PRR	devL1A	1.0
PRR	RRP	devL1A	3.91e-07
RRP	PRR	devL1A	3.91e-07
PRR	RRR	devL1A	1.0
RRR	PRR	devL1A	1.0
PRR	S	devL1A	0.00017177099999999998
S	PRR	devL1A	0.00017177099999999998
PRR	SS	devL1A	1.14e-09
SS	PRR	devL1A	1.14e-09
PRR	SSS	devL1A	0.000330147
SSS	PRR	devL1A	0.000330147
R	RP	devL1A	3.19e-29
RP	R	devL1A	3.19e-29
R	RPP	devL1A	4.6e-15
RPP	R	devL1A	4.6e-15
R	RPR	devL1A	1.0
RPR	R	devL1A	1.0
R	RR	devL1A	1.0
RR	R	devL1A	1.0
R	RRP	devL1A	1.28e-12
RRP	R	devL1A	1.28e-12
R	RRR	devL1A	1.0
RRR	R	devL1A	1.0
R	S	devL1A	2.44e-09
S	R	devL1A	2.44e-09
R	SS	devL1A	8.369999999999999e-16
SS	R	devL1A	8.369999999999999e-16
R	SSS	devL1A	1.49e-06
SSS	R	devL1A	1.49e-06
RP	RPP	devL1A	0.000287949
RPP	RP	devL1A	0.000287949
RP	RPR	devL1A	2.99e-28
RPR	RP	devL1A	2.99e-28
RP	RR	devL1A	1.2e-22
RR	RP	devL1A	1.2e-22
RP	RRP	devL1A	1.7899999999999998e-05
RRP	RP	devL1A	1.7899999999999998e-05
RP	RRR	devL1A	6.070000000000001e-24
RRR	RP	devL1A	6.070000000000001e-24
RP	S	devL1A	3.04e-10
S	RP	devL1A	3.04e-10
RP	SS	devL1A	0.008298767
SS	RP	devL1A	0.008298767
RP	SSS	devL1A	0.003585465
SSS	RP	devL1A	0.003585465
RPP	RPR	devL1A	6.69e-15
RPR	RPP	devL1A	6.69e-15
RPP	RR	devL1A	6.710000000000001e-10
RR	RPP	devL1A	6.710000000000001e-10
RPP	RRP	devL1A	1.0
RRP	RPP	devL1A	1.0
RPP	RRR	devL1A	3.88e-11
RRR	RPP	devL1A	3.88e-11
RPP	S	devL1A	1.0
S	RPP	devL1A	1.0
RPP	SS	devL1A	1.0
SS	RPP	devL1A	1.0
RPP	SSS	devL1A	1.0
SSS	RPP	devL1A	1.0
RPR	RR	devL1A	1.0
RR	RPR	devL1A	1.0
RPR	RRP	devL1A	7.72e-13
RRP	RPR	devL1A	7.72e-13
RPR	RRR	devL1A	1.0
RRR	RPR	devL1A	1.0
RPR	S	devL1A	9.39e-10
S	RPR	devL1A	9.39e-10
RPR	SS	devL1A	8.8300000000000005e-16
SS	RPR	devL1A	8.8300000000000005e-16
RPR	SSS	devL1A	8.380000000000001e-08
SSS	RPR	devL1A	8.380000000000001e-08
RR	RRP	devL1A	4.0999999999999997e-08
RRP	RR	devL1A	4.0999999999999997e-08
RR	RRR	devL1A	1.0
RRR	RR	devL1A	1.0
RR	S	devL1A	2.8000000000000003e-05
S	RR	devL1A	2.8000000000000003e-05
RR	SS	devL1A	7.92e-11
SS	RR	devL1A	7.92e-11
RR	SSS	devL1A	0.00013334
SSS	RR	devL1A	0.00013334
RRP	RRR	devL1A	2.6100000000000003e-09
RRR	RRP	devL1A	2.6100000000000003e-09
RRP	S	devL1A	1.0
S	RRP	devL1A	1.0
RRP	SS	devL1A	1.0
SS	RRP	devL1A	1.0
RRP	SSS	devL1A	1.0
SSS	RRP	devL1A	1.0
RRR	S	devL1A	2e-06
S	RRR	devL1A	2e-06
RRR	SS	devL1A	4.64e-12
SS	RRR	devL1A	4.64e-12
RRR	SSS	devL1A	1.7199999999999998e-05
SSS	RRR	devL1A	1.7199999999999998e-05
S	SS	devL1A	0.315823065
SS	S	devL1A	0.315823065
S	SSS	devL1A	1.0
SSS	S	devL1A	1.0
SS	SSS	devL1A	1.0
SSS	SS	devL1A	1.0
P	PP	devL1LP	1.0
PP	P	devL1LP	1.0
P	PPP	devL1LP	1.0
PPP	P	devL1LP	1.0
P	PPR	devL1LP	4.919999999999999e-26
PPR	P	devL1LP	4.919999999999999e-26
P	PR	devL1LP	7.179999999999999e-39
PR	P	devL1LP	7.179999999999999e-39
P	PRP	devL1LP	0.997306893
PRP	P	devL1LP	0.997306893
P	PRR	devL1LP	5.21e-35
PRR	P	devL1LP	5.21e-35
P	R	devL1LP	3.329999999999999e-63
R	P	devL1LP	3.329999999999999e-63
P	RP	devL1LP	1.0
RP	P	devL1LP	1.0
P	RPP	devL1LP	5.1e-05
RPP	P	devL1LP	5.1e-05
P	RPR	devL1LP	1.29e-49
RPR	P	devL1LP	1.29e-49
P	RR	devL1LP	1.4000000000000001e-55
RR	P	devL1LP	1.4000000000000001e-55
P	RRP	devL1LP	3.2400000000000003e-13
RRP	P	devL1LP	3.2400000000000003e-13
P	RRR	devL1LP	6.22e-46
RRR	P	devL1LP	6.22e-46
P	S	devL1LP	1.14e-19
S	P	devL1LP	1.14e-19
P	SS	devL1LP	1.4e-08
SS	P	devL1LP	1.4e-08
P	SSS	devL1LP	2.0600000000000003e-05
SSS	P	devL1LP	2.0600000000000003e-05
PP	PPP	devL1LP	1.0
PPP	PP	devL1LP	1.0
PP	PPR	devL1LP	2.47e-25
PPR	PP	devL1LP	2.47e-25
PP	PR	devL1LP	1.0399999999999998e-34
PR	PP	devL1LP	1.0399999999999998e-34
PP	PRP	devL1LP	0.25043606399999996
PRP	PP	devL1LP	0.25043606399999996
PP	PRR	devL1LP	1.1799999999999998e-32
PRR	PP	devL1LP	1.1799999999999998e-32
PP	R	devL1LP	4.4700000000000006e-54
R	PP	devL1LP	4.4700000000000006e-54
PP	RP	devL1LP	1.0
RP	PP	devL1LP	1.0
PP	RPP	devL1LP	1.98e-05
RPP	PP	devL1LP	1.98e-05
PP	RPR	devL1LP	1.6200000000000002e-45
RPR	PP	devL1LP	1.6200000000000002e-45
PP	RR	devL1LP	5.91e-50
RR	PP	devL1LP	5.91e-50
PP	RRP	devL1LP	9.5e-13
RRP	PP	devL1LP	9.5e-13
PP	RRR	devL1LP	4.63e-42
RRR	PP	devL1LP	4.63e-42
PP	S	devL1LP	1e-17
S	PP	devL1LP	1e-17
PP	SS	devL1LP	9.229999999999999e-09
SS	PP	devL1LP	9.229999999999999e-09
PP	SSS	devL1LP	5.59e-06
SSS	PP	devL1LP	5.59e-06
PPP	PPR	devL1LP	4.61e-19
PPR	PPP	devL1LP	4.61e-19
PPP	PR	devL1LP	2.0699999999999996e-24
PR	PPP	devL1LP	2.0699999999999996e-24
PPP	PRP	devL1LP	1.0
PRP	PPP	devL1LP	1.0
PPP	PRR	devL1LP	4.700000000000001e-24
PRR	PPP	devL1LP	4.700000000000001e-24
PPP	R	devL1LP	4.2299999999999994e-39
R	PPP	devL1LP	4.2299999999999994e-39
PPP	RP	devL1LP	1.0
RP	PPP	devL1LP	1.0
PPP	RPP	devL1LP	0.027823894
RPP	PPP	devL1LP	0.027823894
PPP	RPR	devL1LP	1.2e-34
RPR	PPP	devL1LP	1.2e-34
PPP	RR	devL1LP	1.33e-37
RR	PPP	devL1LP	1.33e-37
PPP	RRP	devL1LP	1.66e-07
RRP	PPP	devL1LP	1.66e-07
PPP	RRR	devL1LP	1.4599999999999999e-31
RRR	PPP	devL1LP	1.4599999999999999e-31
PPP	S	devL1LP	1.38e-10
S	PPP	devL1LP	1.38e-10
PPP	SS	devL1LP	8.070000000000001e-05
SS	PPP	devL1LP	8.070000000000001e-05
PPP	SSS	devL1LP	0.001917979
SSS	PPP	devL1LP	0.001917979
PPR	PR	devL1LP	1.0
PR	PPR	devL1LP	1.0
PPR	PRP	devL1LP	1.9e-13
PRP	PPR	devL1LP	1.9e-13
PPR	PRR	devL1LP	1.0
PRR	PPR	devL1LP	1.0
PPR	R	devL1LP	1.0
R	PPR	devL1LP	1.0
PPR	RP	devL1LP	2.35e-15
RP	PPR	devL1LP	2.35e-15
PPR	RPP	devL1LP	9.79e-10
RPP	PPR	devL1LP	9.79e-10
PPR	RPR	devL1LP	1.0
RPR	PPR	devL1LP	1.0
PPR	RR	devL1LP	1.0
RR	PPR	devL1LP	1.0
PPR	RRP	devL1LP	0.00017393
RRP	PPR	devL1LP	0.00017393
PPR	RRR	devL1LP	1.0
RRR	PPR	devL1LP	1.0
PPR	S	devL1LP	0.000448764
S	PPR	devL1LP	0.000448764
PPR	SS	devL1LP	1.04e-05
SS	PPR	devL1LP	1.04e-05
PPR	SSS	devL1LP	0.002268777
SSS	PPR	devL1LP	0.002268777
PR	PRP	devL1LP	7.94e-17
PRP	PR	devL1LP	7.94e-17
PR	PRR	devL1LP	1.0
PRR	PR	devL1LP	1.0
PR	R	devL1LP	1.0
R	PR	devL1LP	1.0
PR	RP	devL1LP	3.58e-18
RP	PR	devL1LP	3.58e-18
PR	RPP	devL1LP	2.96e-12
RPP	PR	devL1LP	2.96e-12
PR	RPR	devL1LP	0.140845962
RPR	PR	devL1LP	0.140845962
PR	RR	devL1LP	0.09350319300000001
RR	PR	devL1LP	0.09350319300000001
PR	RRP	devL1LP	6.159999999999999e-05
RRP	PR	devL1LP	6.159999999999999e-05
PR	RRR	devL1LP	1.0
RRR	PR	devL1LP	1.0
PR	S	devL1LP	0.000114983
S	PR	devL1LP	0.000114983
PR	SS	devL1LP	2.2e-06
SS	PR	devL1LP	2.2e-06
PR	SSS	devL1LP	0.0047451609999999995
SSS	PR	devL1LP	0.0047451609999999995
PRP	PRR	devL1LP	3.7200000000000005e-17
PRR	PRP	devL1LP	3.7200000000000005e-17
PRP	R	devL1LP	2.0000000000000002e-29
R	PRP	devL1LP	2.0000000000000002e-29
PRP	RP	devL1LP	1.0
RP	PRP	devL1LP	1.0
PRP	RPP	devL1LP	1.0
RPP	PRP	devL1LP	1.0
PRP	RPR	devL1LP	1.73e-26
RPR	PRP	devL1LP	1.73e-26
PRP	RR	devL1LP	8.109999999999999e-29
RR	PRP	devL1LP	8.109999999999999e-29
PRP	RRP	devL1LP	0.0036362459999999997
RRP	PRP	devL1LP	0.0036362459999999997
PRP	RRR	devL1LP	1.24e-23
RRR	PRP	devL1LP	1.24e-23
PRP	S	devL1LP	3.8799999999999994e-05
S	PRP	devL1LP	3.8799999999999994e-05
PRP	SS	devL1LP	0.205067928
SS	PRP	devL1LP	0.205067928
PRP	SSS	devL1LP	0.60062818
SSS	PRP	devL1LP	0.60062818
PRR	R	devL1LP	1.0
R	PRR	devL1LP	1.0
PRR	RP	devL1LP	9.56e-19
RP	PRR	devL1LP	9.56e-19
PRR	RPP	devL1LP	7.87e-13
RPP	PRR	devL1LP	7.87e-13
PRR	RPR	devL1LP	1.0
RPR	PRR	devL1LP	1.0
PRR	RR	devL1LP	1.0
RR	PRR	devL1LP	1.0
PRR	RRP	devL1LP	4.61e-06
RRP	PRR	devL1LP	4.61e-06
PRR	RRR	devL1LP	1.0
RRR	PRR	devL1LP	1.0
PRR	S	devL1LP	9.27e-06
S	PRR	devL1LP	9.27e-06
PRR	SS	devL1LP	1.7899999999999997e-07
SS	PRR	devL1LP	1.7899999999999997e-07
PRR	SSS	devL1LP	0.000378356
SSS	PRR	devL1LP	0.000378356
R	RP	devL1LP	3.85e-29
RP	R	devL1LP	3.85e-29
R	RPP	devL1LP	2.5099999999999995e-24
RPP	R	devL1LP	2.5099999999999995e-24
R	RPR	devL1LP	1.0
RPR	R	devL1LP	1.0
R	RR	devL1LP	1.0
RR	R	devL1LP	1.0
R	RRP	devL1LP	2.91e-13
RRP	R	devL1LP	2.91e-13
R	RRR	devL1LP	1.0
RRR	R	devL1LP	1.0
R	S	devL1LP	4.85e-14
S	R	devL1LP	4.85e-14
R	SS	devL1LP	7.35e-15
SS	R	devL1LP	7.35e-15
R	SSS	devL1LP	8.55e-08
SSS	R	devL1LP	8.55e-08
RP	RPP	devL1LP	0.37452200700000005
RPP	RP	devL1LP	0.37452200700000005
RP	RPR	devL1LP	2.33e-27
RPR	RP	devL1LP	2.33e-27
RP	RR	devL1LP	3.09e-29
RR	RP	devL1LP	3.09e-29
RP	RRP	devL1LP	4.24e-05
