,chi2,Z,P,P.adjusted,comparisons
101,629.1469389,-3.736109367,9.34E-05,0.028033411,PSP - RPR
102,629.1469389,0.847252396,0.198427227,1,PSS - RPR
103,629.1469389,4.664974533,1.54E-06,0.000462983,R - RPR
104,629.1469389,-4.905228208,4.67E-07,0.000139978,RP - RPR
105,629.1469389,-4.659462608,1.59E-06,0.000475554,RPP - RPR
106,629.1469389,-10.0088146,6.97E-24,2.09E-21,P - RR
107,629.1469389,-9.564635191,5.63E-22,1.69E-19,PP - RR
108,629.1469389,-8.497767126,9.66E-18,2.90E-15,PPP - RR
109,629.1469389,-2.90532029,0.001834387,0.550316191,PPR - RR
110,629.1469389,-2.890051097,0.001925896,0.57776882,PPS - RR
111,629.1469389,-2.815546005,0.002434721,0.730416369,PR - RR
112,629.1469389,-8.751427548,1.05E-18,3.16E-16,PRP - RR
113,629.1469389,-2.675696758,0.003728704,1,PRR - RR
114,629.1469389,-6.095122102,5.47E-10,1.64E-07,PS - RR
115,629.1469389,-8.354922031,3.27E-17,9.82E-15,PSP - RR
116,629.1469389,-3.215478109,0.000651137,0.19534114,PSS - RR
117,629.1469389,0.153526041,0.438991728,1,R - RR
118,629.1469389,-8.935032913,2.04E-19,6.11E-17,RP - RR
119,629.1469389,-9.527355844,8.07E-22,2.42E-19,RPP - RR
120,629.1469389,-4.123969649,1.86E-05,0.00558597,RPR - RR
121,629.1469389,0.663139673,0.253620552,1,P - RRP
122,629.1469389,0.052327085,0.479134036,1,PP - RRP
123,629.1469389,0.599151931,0.274535787,1,PPP - RRP
124,629.1469389,5.17211867,1.16E-07,3.47E-05,PPR - RRP
125,629.1469389,6.572367501,2.48E-11,7.43E-09,PPS - RRP
126,629.1469389,7.568311886,1.89E-14,5.67E-12,PR - RRP
127,629.1469389,0.517738115,0.302320501,1,PRP - RRP
128,629.1469389,6.516171713,3.61E-11,1.08E-08,PRR - RRP
129,629.1469389,3.998122264,3.19E-05,0.009577046,PS - RRP
130,629.1469389,1.197463301,0.115563012,1,PSP - RRP
131,629.1469389,5.882714632,2.02E-09,6.05E-07,PSS - RRP
132,629.1469389,11.26318023,9.97E-30,2.99E-27,R - RRP
133,629.1469389,-0.757324506,0.224427736,1,RP - RRP
134,629.1469389,0.363432548,0.358140896,1,RPP - RRP
135,629.1469389,4.979016604,3.20E-07,9.59E-05,RPR - RRP
136,629.1469389,9.864266833,2.97E-23,8.92E-21,RR - RRP
137,629.1469389,-9.260586808,1.02E-20,3.05E-18,P - RRR
138,629.1469389,-8.928246455,2.16E-19,6.49E-17,PP - RRR
139,629.1469389,-7.941967566,9.95E-16,2.98E-13,PPP - RRR
140,629.1469389,-2.567781226,0.005117586,1,PPR - RRR
141,629.1469389,-2.492480313,0.006342718,1,PPS - RRR
142,629.1469389,-2.38127204,0.008626483,1,PR - RRR
