,chi2,Z,P,P.adjusted,comparisons
71,1018.978753,-4.706899721,1.26E-06,0.000377269,PPS - RP
83,1018.978753,-0.300559641,0.381875155,1,PPS - RPP
96,1018.978753,7.50701106,3.02E-14,9.07E-12,PPS - RPR
110,1018.978753,6.075014425,6.20E-10,1.86E-07,PPS - RR
125,1018.978753,0.29456516,0.38416304,1,PPS - RRP
141,1018.978753,6.478471749,4.63E-11,1.39E-08,PPS - RRR
158,1018.978753,0.888322511,0.187183647,1,PPS - RRS
176,1018.978753,-0.526829505,0.299155996,1,PPS - RS
195,1018.978753,5.841145993,2.59E-09,7.78E-07,PPS - RSR
215,1018.978753,0.189954124,0.42467254,1,PPS - RSS
236,1018.978753,1.910528796,0.028032581,1,PPS - S
258,1018.978753,-0.899119832,0.184294418,1,PPS - SS
281,1018.978753,0.169932961,0.432531429,1,PPS - SSS
21,1018.978753,-9.410497389,2.47E-21,7.41E-19,PR - PRP
27,1018.978753,2.021442854,0.021616971,1,PR - PRR
34,1018.978753,-3.327925896,0.000437476,0.131242705,PR - PS
42,1018.978753,-9.299707632,7.04E-21,2.11E-18,PR - PSP
51,1018.978753,-4.970347829,3.34E-07,0.000100249,PR - PSS
61,1018.978753,3.08972002,0.001001726,0.300517884,PR - R
72,1018.978753,-8.905098048,2.67E-19,8.00E-17,PR - RP
84,1018.978753,-5.105446567,1.65E-07,4.95E-05,PR - RPP
97,1018.978753,3.885143882,5.11E-05,0.015340395,PR - RPR
111,1018.978753,2.165587897,0.015171346,1,PR - RR
126,1018.978753,-4.45153947,4.26E-06,0.001278853,PR - RRP
142,1018.978753,2.715074351,0.003313045,0.99391339,PR - RRR
159,1018.978753,-3.464597347,0.000265513,0.079653886,PR - RRS
177,1018.978753,-4.90360967,4.70E-07,0.000141137,PR - RS
196,1018.978753,2.314973168,0.0103072,1,PR - RSR
216,1018.978753,-4.051414987,2.55E-05,0.007636323,PR - RSS
237,1018.978753,-3.114081451,0.000922593,0.276777816,PR - S
259,1018.978753,-5.495473109,1.95E-08,5.84E-06,PR - SS
282,1018.978753,-3.381711532,0.000360179,0.108053621,PR - SSS
28,1018.978753,10.3443011,2.22E-25,6.66E-23,PRP - PRR
35,1018.978753,6.283285314,1.66E-10,4.97E-08,PRP - PS
43,1018.978753,0.360008046,0.359420558,1,PRP - PSP
52,1018.978753,3.685176425,0.000114272,0.034281641,PRP - PSS
62,1018.978753,12.64032621,6.33E-37,1.90E-34,PRP - R
73,1018.978753,-0.617989629,0.268291087,1,PRP - RP
85,1018.978753,4.689255184,1.37E-06,0.000411302,PRP - RPP
98,1018.978753,12.10494553,4.97E-34,1.49E-31,PRP - RPR
112,1018.978753,10.87132132,7.89E-28,2.37E-25,PRP - RR
127,1018.978753,5.297544466,5.87E-08,1.76E-05,PRP - RRP
143,1018.978753,11.13846396,4.08E-29,1.22E-26,PRP - RRR
160,1018.978753,5.583907537,1.18E-08,3.53E-06,PRP - RRS
178,1018.978753,4.052537503,2.53E-05,0.007599765,PRP - RS
197,1018.978753,10.1283394,2.07E-24,6.20E-22,PRP - RSR
217,1018.978753,4.709959473,1.24E-06,0.000371649,PRP - RSS
238,1018.978753,7.378357445,8.01E-14,2.40E-11,PRP - S
260,1018.978753,3.842516168,6.09E-05,0.018266908,PRP - SS
283,1018.978753,4.014952676,2.97E-05,0.008918659,PRP - SSS
36,1018.978753,-4.95668849,3.59E-07,0.000107557,PRR - PS
44,1018.978753,-10.24128521,6.48E-25,1.94E-22,PRR - PSP
53,1018.978753,-6.324552412,1.27E-10,3.81E-08,PRR - PSS
63,1018.978753,0.607249629,0.27184263,1,PRR - R
74,1018.978753,-9.883433533,2.46E-23,7.37E-21,PRR - RP
86,1018.978753,-6.531469131,3.26E-11,9.77E-09,PRR - RPP
99,1018.978753,1.687081264,0.045793864,1,PRR - RPR
113,1018.978753,0.031354769,0.487493306,1,PRR - RR
128,1018.978753,-5.954517721,1.30E-09,3.91E-07,PRR - RRP
144,1018.978753,0.59066344,0.277372974,1,PRR - RRR
161,1018.978753,-5.014985433,2.65E-07,7.96E-05,PRR - RRS
179,1018.978753,-6.290066446,1.59E-10,4.76E-08,PRR - RS
198,1018.978753,0.392655234,0.347287069,1,PRR - RSR
218,1018.978753,-5.508100997,1.81E-08,5.44E-06,PRR - RSS
239,1018.978753,-4.864901726,5.73E-07,0.000171771,PRR - S
261,1018.978753,-6.846200024,3.79E-12,1.14E-09,PRR - SS
284,1018.978753,-4.734036561,1.10E-06,0.000330147,PRR - SSS
45,1018.978753,-6.081557849,5.95E-10,1.79E-07,PS - PSP
54,1018.978753,-2.035797725,0.020885335,1,PS - PSS
64,1018.978753,6.558101164,2.72E-11,8.17E-09,PS - R
75,1018.978753,-6.163854771,3.55E-10,1.06E-07,PS - RP
87,1018.978753,-1.748140099,0.040219886,1,PS - RPP
100,1018.978753,6.815294099,4.70E-12,1.41E-09,PS - RPR
114,1018.978753,5.257655978,7.30E-08,2.19E-05,PS - RR
129,1018.978753,-1.096539113,0.136421458,1,PS - RRP
