,chi2,Z,P,P.adjusted,comparisons
109,741.8676771,1.175534431,0.119890485,1,poor_poor_rich - rich_rich
124,741.8676771,6.231336726,2.31E-10,6.94E-08,poor_poor_rich - rich_rich_poor
140,741.8676771,-0.689417889,0.245280164,1,poor_poor_rich - rich_rich_rich
157,741.8676771,2.355541997,0.009247853,1,poor_poor_rich - rich_rich_std
175,741.8676771,3.353440349,0.000399068,0.119720423,poor_poor_rich - rich_std
194,741.8676771,-0.925375383,0.17738534,1,poor_poor_rich - rich_std_rich
214,741.8676771,1.802598513,0.035725645,1,poor_poor_rich - rich_std_std
235,741.8676771,3.588249036,0.000166453,0.049935934,poor_poor_rich - std
257,741.8676771,3.990260838,3.30E-05,0.009900101,poor_poor_rich - std_std
280,741.8676771,1.639141979,0.050591847,1,poor_poor_rich - std_std_std
15,741.8676771,-1.257609269,0.10426655,1,poor_poor_std - poor_rich
20,741.8676771,6.752572043,7.26E-12,2.18E-09,poor_poor_std - poor_rich_poor
26,741.8676771,-2.54072393,0.005531161,1,poor_poor_std - poor_rich_rich
33,741.8676771,0.292574675,0.384923637,1,poor_poor_std - poor_std
41,741.8676771,5.316754401,5.28E-08,1.58E-05,poor_poor_std - poor_std_poor
50,741.8676771,0.20006176,0.42071614,1,poor_poor_std - poor_std_std
60,741.8676771,-0.914002129,0.180357863,1,poor_poor_std - rich
71,741.8676771,7.513633101,2.88E-14,8.63E-12,poor_poor_std - rich_poor
83,741.8676771,5.65466068,7.81E-09,2.34E-06,poor_poor_std - rich_poor_poor
96,741.8676771,-2.469049154,0.00677363,1,poor_poor_std - rich_poor_rich
110,741.8676771,-0.843083472,0.199590881,1,poor_poor_std - rich_rich
125,741.8676771,4.892138146,4.99E-07,0.00014962,poor_poor_std - rich_rich_poor
141,741.8676771,-2.901873665,0.001854691,0.55640715,poor_poor_std - rich_rich_rich
158,741.8676771,0.495661759,0.310066536,1,poor_poor_std - rich_rich_std
176,741.8676771,1.678050117,0.046668658,1,poor_poor_std - rich_std
195,741.8676771,-2.894603946,0.001898186,0.569455789,poor_poor_std - rich_std_rich
215,741.8676771,-0.078810251,0.468591775,1,poor_poor_std - rich_std_std
236,741.8676771,1.732363263,0.041604452,1,poor_poor_std - std
258,741.8676771,2.361656116,0.009096755,1,poor_poor_std - std_std
281,741.8676771,-0.011099724,0.495571942,1,poor_poor_std - std_std_std
21,741.8676771,8.598926726,4.02E-18,1.21E-15,poor_rich - poor_rich_poor
27,741.8676771,-1.515028316,0.064882617,1,poor_rich - poor_rich_rich
34,741.8676771,1.702858041,0.044297319,1,poor_rich - poor_std
42,741.8676771,7.120037628,5.39E-13,1.62E-10,poor_rich - poor_std_poor
51,741.8676771,1.456861169,0.072577353,1,poor_rich - poor_std_std
61,741.8676771,0.432484677,0.332694593,1,poor_rich - rich
72,741.8676771,9.130199791,3.42E-20,1.03E-17,poor_rich - rich_poor
84,741.8676771,7.580239645,1.72E-14,5.17E-12,poor_rich - rich_poor_poor
97,741.8676771,-1.425638645,0.076986338,1,poor_rich - rich_poor_rich
111,741.8676771,0.388356749,0.348876023,1,poor_rich - rich_rich
126,741.8676771,6.745911245,7.60E-12,2.28E-09,poor_rich - rich_rich_poor
142,741.8676771,-1.868766428,0.030827659,1,poor_rich - rich_rich_rich
159,741.8676771,1.844771021,0.032535427,1,poor_rich - rich_rich_std
177,741.8676771,3.06548091,0.001086601,0.325980376,poor_rich - rich_std
196,741.8676771,-1.973697537,0.024208073,1,poor_rich - rich_std_rich
216,741.8676771,1.172701902,0.120457684,1,poor_rich - rich_std_std
237,741.8676771,3.465551608,0.000264572,0.079371744,poor_rich - std
259,741.8676771,3.866417815,5.52E-05,0.016566849,poor_rich - std_std
282,741.8676771,1.039997718,0.14917048,1,poor_rich - std_std_std
28,741.8676771,-9.10673428,4.24E-20,1.27E-17,poor_rich_poor - poor_rich_rich
35,741.8676771,-7.052421364,8.79E-13,2.64E-10,poor_rich_poor - poor_std
43,741.8676771,-1.679995139,0.046479131,1,poor_rich_poor - poor_std_poor
52,741.8676771,-6.470168688,4.89E-11,1.47E-08,poor_rich_poor - poor_std_std
62,741.8676771,-8.553410733,5.98E-18,1.79E-15,poor_rich_poor - rich
73,741.8676771,1.50792014,0.065787484,1,poor_rich_poor - rich_poor
85,741.8676771,-1.576993616,0.057398497,1,poor_rich_poor - rich_poor_poor
98,741.8676771,-9.121209073,3.71E-20,1.11E-17,poor_rich_poor - rich_poor_rich
112,741.8676771,-7.82817953,2.47E-15,7.42E-13,poor_rich_poor - rich_rich
127,741.8676771,-2.362304714,0.009080854,1,poor_rich_poor - rich_rich_poor
143,741.8676771,-9.726822751,1.16E-22,3.48E-20,poor_rich_poor - rich_rich_rich
160,741.8676771,-6.485989572,4.41E-11,1.32E-08,poor_rich_poor - rich_rich_std
178,741.8676771,-5.032668863,2.42E-07,7.26E-05,poor_rich_poor - rich_std
197,741.8676771,-8.878169557,3.40E-19,1.02E-16,poor_rich_poor - rich_std_rich
217,741.8676771,-6.833347939,4.15E-12,1.24E-09,poor_rich_poor - rich_std_std
238,741.8676771,-6.270107459,1.80E-10,5.41E-08,poor_rich_poor - std
260,741.8676771,-4.570098459,2.44E-06,0.000731243,poor_rich_poor - std_std
283,741.8676771,-5.740661285,4.72E-09,1.41E-06,poor_rich_poor - std_std_std
36,741.8676771,3.019014912,0.00126799,0.380397073,poor_rich_rich - poor_std
44,741.8676771,7.78300579,3.54E-15,1.06E-12,poor_rich_rich - poor_std_poor
53,741.8676771,2.708084423,0.00338364,1,poor_rich_rich - poor_std_std
63,741.8676771,1.946051508,0.025824276,1,poor_rich_rich - rich
