,chi2,Z,P,P.adjusted,comparisons
84,367.0079763,5.813192663,3.06E-09,9.19E-07,poor_rich - rich_poor_poor
85,367.0079763,-0.721365086,0.235342461,1,poor_rich_poor - rich_poor_poor
86,367.0079763,6.152785117,3.81E-10,1.14E-07,poor_rich_rich - rich_poor_poor
87,367.0079763,1.755830215,0.039558702,1,poor_std - rich_poor_poor
88,367.0079763,0.828471665,0.203701718,1,poor_std_poor - rich_poor_poor
89,367.0079763,3.716095164,0.000101163,0.030348811,poor_std_std - rich_poor_poor
90,367.0079763,6.865516971,3.31E-12,9.94E-10,rich - rich_poor_poor
91,367.0079763,-0.787921313,0.215371367,1,rich_poor - rich_poor_poor
92,367.0079763,-9.676314865,1.90E-22,5.70E-20,poor - rich_poor_rich
93,367.0079763,-7.872938568,1.73E-15,5.20E-13,poor_poor - rich_poor_rich
94,367.0079763,-6.789355077,5.63E-12,1.69E-09,poor_poor_poor - rich_poor_rich
95,367.0079763,0.643714226,0.259880382,1,poor_poor_rich - rich_poor_rich
96,367.0079763,-3.093361674,0.000989514,0.296854181,poor_poor_std - rich_poor_rich
97,367.0079763,-1.361478578,0.086681249,1,poor_rich - rich_poor_rich
98,367.0079763,-6.184052938,3.12E-10,9.37E-08,poor_rich_poor - rich_poor_rich
99,367.0079763,-0.404167578,0.343044747,1,poor_rich_rich - rich_poor_rich
100,367.0079763,-4.920135415,4.32E-07,0.000129727,poor_std - rich_poor_rich
101,367.0079763,-5.1428994,1.35E-07,4.06E-05,poor_std_poor - rich_poor_rich
102,367.0079763,-2.522594662,0.00582463,1,poor_std_std - rich_poor_rich
103,367.0079763,-1.406643937,0.079766499,1,rich - rich_poor_rich
104,367.0079763,-5.509392422,1.80E-08,5.40E-06,rich_poor - rich_poor_rich
105,367.0079763,-7.194372124,3.14E-13,9.41E-11,rich_poor_poor - rich_poor_rich
106,367.0079763,-9.18403247,2.08E-20,6.23E-18,poor - rich_rich
107,367.0079763,-7.351442274,9.80E-14,2.94E-11,poor_poor - rich_rich
108,367.0079763,-6.290377952,1.58E-10,4.75E-08,poor_poor_poor - rich_rich
109,367.0079763,1.278716752,0.100498409,1,poor_poor_rich - rich_rich
110,367.0079763,-2.511504545,0.006010887,1,poor_poor_std - rich_rich
111,367.0079763,-0.612971814,0.269947489,1,poor_rich - rich_rich
112,367.0079763,-5.680337596,6.72E-09,2.02E-06,poor_rich_poor - rich_rich
113,367.0079763,0.305267514,0.380081208,1,poor_rich_rich - rich_rich
114,367.0079763,-4.303458836,8.41E-06,0.002522282,poor_std - rich_rich
115,367.0079763,-4.582863717,2.29E-06,0.000687976,poor_std_poor - rich_rich
116,367.0079763,-1.887911422,0.029518921,1,poor_std_std - rich_rich
117,367.0079763,-0.556509667,0.288931244,1,rich - rich_rich
118,367.0079763,-5.052532207,2.18E-07,6.54E-05,rich_poor - rich_rich
119,367.0079763,-6.609150232,1.93E-11,5.80E-09,rich_poor_poor - rich_rich
120,367.0079763,0.785062894,0.216208347,1,rich_poor_rich - rich_rich
121,367.0079763,-4.459403771,4.11E-06,0.001232819,poor - rich_rich_poor
122,367.0079763,-3.071153648,0.001066167,0.319850088,poor_poor - rich_rich_poor
123,367.0079763,-2.583887903,0.004884677,1,poor_poor_poor - rich_rich_poor
124,367.0079763,4.70816384,1.25E-06,0.000374937,poor_poor_rich - rich_rich_poor
125,367.0079763,1.148824904,0.125314094,1,poor_poor_std - rich_rich_poor
126,367.0079763,3.740861199,9.17E-05,0.027508618,poor_rich - rich_rich_poor
127,367.0079763,-2.059445613,0.019725785,1,poor_rich_poor - rich_rich_poor
128,367.0079763,4.263422406,1.01E-05,0.003019791,poor_rich_rich - rich_rich_poor
129,367.0079763,0.017472491,0.493029839,1,poor_std - rich_rich_poor
130,367.0079763,-0.688314049,0.245627518,1,poor_std_poor - rich_rich_poor
131,367.0079763,2.017840508,0.021803937,1,poor_std_std - rich_rich_poor
132,367.0079763,4.374275007,6.09E-06,0.001827551,rich - rich_rich_poor
133,367.0079763,-1.948198029,0.025695636,1,rich_poor - rich_rich_poor
134,367.0079763,-1.781444773,0.03741991,1,rich_poor_poor - rich_rich_poor
135,367.0079763,5.051773952,2.19E-07,6.57E-05,rich_poor_rich - rich_rich_poor
136,367.0079763,4.427285435,4.77E-06,0.001431396,rich_rich - rich_rich_poor
137,367.0079763,-9.089398447,4.98E-20,1.49E-17,poor - rich_rich_rich
138,367.0079763,-7.375263372,8.20E-14,2.46E-11,poor_poor - rich_rich_rich
139,367.0079763,-6.381065732,8.79E-11,2.64E-08,poor_poor_poor - rich_rich_rich
140,367.0079763,0.942861221,0.172875946,1,poor_poor_rich - rich_rich_rich
141,367.0079763,-2.730103449,0.003165723,0.949716813,poor_poor_std - rich_rich_rich
142,367.0079763,-0.949379247,0.171213881,1,poor_rich - rich_rich_rich
143,367.0079763,-5.792749899,3.46E-09,1.04E-06,poor_rich_poor - rich_rich_rich
