,chi2,Z,P,P.adjusted,comparisons
176,240.5807105,0.56519917,0.285969151,1,PPS - RS
195,240.5807105,-0.349205685,0.363467449,1,PPS - RSR
215,240.5807105,1.023210187,0.153104239,1,PPS - RSS
236,240.5807105,5.569421356,1.28E-08,3.83E-06,PPS - S
258,240.5807105,3.403735651,0.000332355,0.099706574,PPS - SS
281,240.5807105,3.299328277,0.000484583,0.145374755,PPS - SSS
21,240.5807105,5.729845627,5.03E-09,1.51E-06,PR - PRP
27,240.5807105,2.547243599,0.005428881,1,PR - PRR
34,240.5807105,-0.05667119,0.477403562,1,PR - PS
42,240.5807105,4.050717182,2.55E-05,0.007659134,PR - PSP
51,240.5807105,5.033827597,2.40E-07,7.21E-05,PR - PSS
61,240.5807105,7.174603747,3.63E-13,1.09E-10,PR - R
72,240.5807105,1.835368824,0.03322553,1,PR - RP
84,240.5807105,5.229553564,8.50E-08,2.55E-05,PR - RPP
97,240.5807105,6.034570989,7.97E-10,2.39E-07,PR - RPR
111,240.5807105,0.462701049,0.321789333,1,PR - RR
126,240.5807105,4.366924853,6.30E-06,0.001890121,PR - RRP
142,240.5807105,3.743693432,9.07E-05,0.027200233,PR - RRR
159,240.5807105,4.883948594,5.20E-07,0.000155973,PR - RRS
177,240.5807105,1.668673748,0.047591027,1,PR - RS
196,240.5807105,0.693250328,0.244076235,1,PR - RSR
216,240.5807105,2.042874033,0.020532455,1,PR - RSS
237,240.5807105,6.543461412,3.01E-11,9.02E-09,PR - S
259,240.5807105,4.361624964,6.46E-06,0.0019365,PR - SS
282,240.5807105,4.304526219,8.37E-06,0.002510152,PR - SSS
28,240.5807105,-3.17881684,0.000739388,0.221816253,PRP - PRR
35,240.5807105,-5.606902026,1.03E-08,3.09E-06,PRP - PS
43,240.5807105,-1.512369987,0.065219883,1,PRP - PSP
52,240.5807105,-0.857557237,0.195568498,1,PRP - PSS
62,240.5807105,1.625158581,0.052064387,1,PRP - R
73,240.5807105,-3.685013729,0.000114345,0.034303547,PRP - RP
85,240.5807105,-0.283361587,0.388449836,1,PRP - RPP
98,240.5807105,0.017713271,0.492933797,1,PRP - RPR
112,240.5807105,-5.476867015,2.16E-08,6.49E-06,PRP - RR
127,240.5807105,-1.454866332,0.072853135,1,PRP - RRP
143,240.5807105,-2.120012037,0.017002515,1,PRP - RRR
160,240.5807105,-0.545296538,0.292774793,1,PRP - RRS
178,240.5807105,-4.639870922,1.74E-06,0.00052294,PRP - RS
197,240.5807105,-5.204990717,9.70E-08,2.91E-05,PRP - RSR
217,240.5807105,-3.836061473,6.25E-05,0.018753469,PRP - RSS
238,240.5807105,0.566240011,0.285615317,1,PRP - S
260,240.5807105,-1.340576993,0.090028916,1,PRP - SS
283,240.5807105,-1.673911758,0.047073972,1,PRP - SSS
36,240.5807105,-2.522341528,0.005828823,1,PRR - PS
44,240.5807105,1.576594281,0.057444455,1,PRR - PSP
53,240.5807105,2.409619818,0.007984576,1,PRR - PSS
63,240.5807105,4.704789082,1.27E-06,0.000381193,PRR - R
74,240.5807105,-0.61798009,0.268294231,1,PRR - RP
