,chi2,Z,P,P.adjusted,comparisons
71,1086.096864,-5.121358937,1.52E-07,4.55E-05,PPS - RP
83,1086.096864,-2.734372466,0.003124965,0.937489522,PPS - RPP
96,1086.096864,6.867392035,3.27E-12,9.81E-10,PPS - RPR
110,1086.096864,7.122912726,5.28E-13,1.59E-10,PPS - RR
125,1086.096864,-0.378854146,0.352398088,1,PPS - RRP
141,1086.096864,6.201757962,2.79E-10,8.38E-08,PPS - RRR
158,1086.096864,-0.878705871,0.189780387,1,PPS - RRS
176,1086.096864,-0.781873834,0.217144362,1,PPS - RS
195,1086.096864,5.550138231,1.43E-08,4.28E-06,PPS - RSR
215,1086.096864,-0.861001661,0.194618564,1,PPS - RSS
236,1086.096864,0.149230536,0.440685863,1,PPS - S
258,1086.096864,-1.165654848,0.121877011,1,PPS - SS
281,1086.096864,-0.658289832,0.255175955,1,PPS - SSS
21,1086.096864,-8.906010614,2.65E-19,7.94E-17,PR - PRP
27,1086.096864,1.066289129,0.143146481,1,PR - PRR
34,1086.096864,-4.697526914,1.32E-06,0.000394996,PR - PS
42,1086.096864,-9.223934038,1.43E-20,4.30E-18,PR - PSP
51,1086.096864,-4.877200864,5.38E-07,0.000161403,PR - PSS
61,1086.096864,2.636065927,0.004193672,1,PR - R
72,1086.096864,-9.243425358,1.19E-20,3.58E-18,PR - RP
84,1086.096864,-7.652259304,9.87E-15,2.96E-12,PR - RPP
97,1086.096864,3.308201247,0.000469487,0.140845962,PR - RPR
111,1086.096864,3.421243641,0.000311677,0.093503193,PR - RR
126,1086.096864,-5.064079239,2.05E-07,6.16E-05,PR - RRP
142,1086.096864,2.530435461,0.005696052,1,PR - RRR
159,1086.096864,-5.264561436,7.03E-08,2.11E-05,PR - RRS
177,1086.096864,-5.063955125,2.05E-07,6.16E-05,PR - RS
196,1086.096864,2.108900414,0.017476589,1,PR - RSR
216,1086.096864,-5.072067801,1.97E-07,5.90E-05,PR - RSS
237,1086.096864,-4.94369644,3.83E-07,0.000114983,PR - S
259,1086.096864,-5.665178074,7.34E-09,2.20E-06,PR - SS
282,1086.096864,-4.161369998,1.58E-05,0.004745161,PR - SSS
28,1086.096864,8.989792303,1.24E-19,3.72E-17,PRP - PRR
35,1086.096864,4.505090158,3.32E-06,0.000995172,PRP - PS
43,1086.096864,-0.054949693,0.478089271,1,PRP - PSP
52,1086.096864,3.323775402,0.000444038,0.133211531,PRP - PSS
62,1086.096864,11.69631988,6.66E-32,2.00E-29,PRP - R
73,1086.096864,-1.361549436,0.086670061,1,PRP - RP
85,1086.096864,1.814123104,0.034829388,1,PRP - RPP
98,1086.096864,11.10773399,5.75E-29,1.73E-26,PRP - RPR
112,1086.096864,11.57675835,2.70E-31,8.11E-29,PRP - RR
127,1086.096864,4.221746754,1.21E-05,0.003636246,PRP - RRP
143,1086.096864,10.50449427,4.12E-26,1.24E-23,PRP - RRR
160,1086.096864,3.41975401,0.000313389,0.094016679,PRP - RRS
178,1086.096864,3.43682618,0.000294287,0.088285978,PRP - RS
197,1086.096864,9.507389251,9.78E-22,2.93E-19,PRP - RSR
217,1086.096864,3.289704262,0.000501464,0.150439099,PRP - RSS
238,1086.096864,5.151139925,1.29E-07,3.88E-05,PRP - S
260,1086.096864,3.201504474,0.00068356,0.205067928,PRP - SS
283,1086.096864,2.877831633,0.002002094,0.60062818,PRP - SSS
36,1086.096864,-5.214414952,9.22E-08,2.77E-05,PRR - PS
44,1086.096864,-9.250506524,1.12E-20,3.35E-18,PRR - PSP
53,1086.096864,-5.380259236,3.72E-08,1.12E-05,PRR - PSS
63,1086.096864,1.199746788,0.115118848,1,PRR - R
74,1086.096864,-9.38358541,3.19E-21,9.56E-19,PRR - RP
86,1086.096864,-7.820843442,2.62E-15,7.87E-13,PRR - RPP
99,1086.096864,2.029449935,0.021206242,1,PRR - RPR
113,1086.096864,2.059137001,0.019740558,1,PRR - RR
128,1086.096864,-5.537255842,1.54E-08,4.61E-06,PRR - RRP
144,1086.096864,1.302286432,0.096409244,1,PRR - RRR
161,1086.096864,-5.725958062,5.14E-09,1.54E-06,PRR - RRS
179,1086.096864,-5.547749742,1.45E-08,4.34E-06,PRR - RS
198,1086.096864,1.020309206,0.153790919,1,PRR - RSR
218,1086.096864,-5.556074754,1.38E-08,4.14E-06,PRR - RSS
239,1086.096864,-5.413562865,3.09E-08,9.27E-06,PRR - S
261,1086.096864,-6.081113424,5.97E-10,1.79E-07,PRR - SS
284,1086.096864,-4.706312888,1.26E-06,0.000378356,PRR - SSS
45,1086.096864,-4.693907101,1.34E-06,0.000402054,PS - PSP
54,1086.096864,-0.740712057,0.229434024,1,PS - PSS
64,1086.096864,7.538461789,2.38E-14,7.13E-12,PS - R
75,1086.096864,-5.38181049,3.69E-08,1.11E-05,PS - RP
87,1086.096864,-2.911688551,0.001797404,0.539221309,PS - RPP
100,1086.096864,7.450197611,4.66E-14,1.40E-11,PS - RPR
114,1086.096864,7.784739619,3.49E-15,1.05E-12,PS - RR
129,1086.096864,-0.332636132,0.369704483,1,PS - RRP
145,1086.096864,6.753620914,7.21E-12,2.16E-09,PS - RRR
162,1086.096864,-0.874696105,0.19086964,1,PS - RRS
180,1086.096864,-0.768913214,0.220972416,1,PS - RS
199,1086.096864,5.978772945,1.12E-09,3.37E-07,PS - RSR
219,1086.096864,-0.853303308,0.196745563,1,PS - RSS
240,1086.096864,0.256462454,0.398796884,1,PS - S
262,1086.096864,-1.187392223,0.117536473,1,PS - SS
285,1086.096864,-0.632460737,0.263542928,1,PS - SSS
55,1086.096864,3.451865544,0.000278363,0.083508761,PSP - PSS
65,1086.096864,12.12670678,3.81E-34,1.14E-31,PSP - R
76,1086.096864,-1.340222824,0.090086457,1,PSP - RP
88,1086.096864,1.926152815,0.027042648,1,PSP - RPP
101,1086.096864,11.41754373,1.71E-30,5.13E-28,PSP - RPR
115,1086.096864,11.92733243,4.26E-33,1.28E-30,PSP - RR
130,1086.096864,4.40428666,5.31E-06,0.001591988,PSP - RRP
146,1086.096864,10.80996145,1.54E-27,4.63E-25,PSP - RRR
163,1086.096864,3.562030626,0.000183999,0.055199616,PSP - RRS
181,1086.096864,3.575004752,0.000175111,0.05253323,PSP - RS
200,1086.096864,9.75024032,9.20E-23,2.76E-20,PSP - RSR
220,1086.096864,3.420752755,0.00031224,0.093672115,PSP - RSS
241,1086.096864,5.394146787,3.44E-08,1.03E-05,PSP - S
263,1086.096864,3.342197808,0.000415589,0.124676707,PSP - SS
286,1086.096864,2.971560378,0.001481453,0.444435912,PSP - SSS
66,1086.096864,7.334645936,1.11E-13,3.33E-11,PSS - R
77,1086.096864,-4.293230566,8.80E-06,0.00264138,PSS - RP
89,1086.096864,-1.816040936,0.034682046,1,PSS - RPP
102,1086.096864,7.398527544,6.89E-14,2.07E-11,PSS - RPR
116,1086.096864,7.658901889,9.38E-15,2.81E-12,PSS - RR
131,1086.096864,0.452138946,0.325584444,1,PSS - RRP
147,1086.096864,6.758489091,6.97E-12,2.09E-09,PSS - RRR
164,1086.096864,-0.079511889,0.468312738,1,PSS - RRS
182,1086.096864,0,0.5,1,PSS - RS
201,1086.096864,6.098512843,5.35E-10,1.61E-07,PSS - RSR
221,1086.096864,-0.08825744,0.464836033,1,PSS - RSS
242,1086.096864,1.020098602,0.15384085,1,PSS - S
264,1086.096864,-0.343768128,0.365510336,1,PSS - SS
287,1086.096864,0,0.5,1,PSS - SSS
78,1086.096864,-11.64034219,1.28E-31,3.85E-29,R - RP
90,1086.096864,-10.65368767,8.38E-27,2.51E-24,R - RPP
103,1086.096864,1.12153116,0.131030918,1,R - RPR
117,1086.096864,1.118644985,0.131645812,1,R - RR
132,1086.096864,-7.945293464,9.69E-16,2.91E-13,R - RRP
